0.49 0.00068581 0.00068581  0.00351697 0.00049655 0.0150995 0.0159315
0.5 0.000704742 0.000704742  0.00359367 0.000513715 0.015691 0.0165805
0.51 0.000723684 0.000723684  0.00367079 0.00053116 0.0162906 0.0172404
0.52 0.000742627 0.000742627  0.00374834 0.000548881 0.0168978 0.017911
0.53 0.000761567 0.000761567  0.00382631 0.000566876 0.0175126 0.0185923
0.54 0.000780498 0.000780498  0.00390472 0.000585139 0.0181346 0.0192839
0.55 0.000799414 0.000799414  0.00398356 0.000603666 0.0187636 0.0199858
0.56 0.000818311 0.000818311  0.00406283 0.000622454 0.0193994 0.0206977
0.57 0.000837182 0.000837182  0.00414252 0.000641497 0.0200416 0.0214194
0.58 0.000856024 0.000856024  0.00422265 0.000660791 0.02069 0.0221508
0.59 0.000874831 0.000874831  0.00430319 0.000680331 0.0213443 0.0228916
0.6 0.000893599 0.000893599  0.00438415 0.000700113 0.0220043 0.0236416
0.61 0.000912323 0.000912323  0.00446552 0.00072013 0.0226697 0.0244006
0.62 0.000930999 0.000930999  0.00454729 0.000740379 0.0233402 0.0251684
0.63 0.000949622 0.000949622  0.00462946 0.000760852 0.0240156 0.0259447
0.64 0.00096819 0.00096819  0.00471201 0.000781544 0.0246955 0.0267294
0.65 0.000986697 0.000986697  0.00479494 0.000802451 0.0253797 0.0275221
0.66 0.00100514 0.00100514  0.00487822 0.000823564 0.0260678 0.0283226
0.67 0.00102351 0.00102351  0.00496186 0.00084488 0.0267597 0.0291307
0.68 0.00104182 0.00104182  0.00504582 0.00086639 0.0274551 0.0299462
0.69 0.00106005 0.00106005  0.00513011 0.000888089 0.0281536 0.0307687
0.7 0.0010782 0.0010782  0.00521471 0.00090997 0.0288549 0.031598
0.71 0.00109626 0.00109626  0.00529959 0.000932026 0.0295589 0.0324338
0.72 0.00111425 0.00111425  0.00538475 0.00095425 0.0302651 0.0332759
0.73 0.00113214 0.00113214  0.00547016 0.000976636 0.0309733 0.034124
0.74 0.00114994 0.00114994  0.0055558 0.000999175 0.0316833 0.0349777
0.75 0.00116765 0.00116765  0.00564166 0.00102186 0.0323947 0.0358368
0.76 0.00118526 0.00118526  0.00572771 0.00104468 0.0331073 0.036701
0.77 0.00120278 0.00120278  0.00581394 0.00106764 0.0338207 0.03757
0.78 0.00122019 0.00122019  0.00590032 0.00109072 0.0345347 0.0384435
0.79 0.00123749 0.00123749  0.00598683 0.00111391 0.035249 0.0393211
0.8 0.00125468 0.00125468  0.00607345 0.00113721 0.0359634 0.0402026
0.81 0.00127177 0.00127177  0.00616015 0.00116061 0.0366774 0.0410876
0.82 0.00128874 0.00128874  0.00624691 0.00118409 0.0373908 0.0419758
0.83 0.00130559 0.00130559  0.0063337 0.00120766 0.0381035 0.0428669
0.84 0.00132233 0.00132233  0.00642051 0.0012313 0.0388149 0.0437604
0.85 0.00133895 0.00133895  0.0065073 0.00125501 0.039525 0.0446562
0.86 0.00135544 0.00135544  0.00659405 0.00127877 0.0402334 0.0455537
0.87 0.00137181 0.00137181  0.00668073 0.00130257 0.0409398 0.0464528
0.88 0.00138805 0.00138805  0.00676732 0.00132641 0.0416439 0.047353
0.89 0.00140416 0.00140416  0.00685379 0.00135028 0.0423455 0.0482539
0.9 0.00142014 0.00142014  0.00694012 0.00137416 0.0430443 0.0491552
0.91 0.00143598 0.00143598  0.00702626 0.00139805 0.04374 0.0500565
0.92 0.00145169 0.00145169  0.00711221 0.00142194 0.0444323 0.0509575
0.93 0.00146726 0.00146726  0.00719792 0.00144582 0.045121 0.0518578
0.94 0.00148269 0.00148269  0.00728337 0.00146967 0.0458058 0.052757
0.95 0.00149798 0.00149798  0.00736854 0.00149349 0.0464864 0.0536546
0.96 0.00151313 0.00151313  0.00745339 0.00151727 0.0471626 0.0545504
0.97 0.00152813 0.00152813  0.00753789 0.00154099 0.0478341 0.055444
0.98 0.00154298 0.00154298  0.00762203 0.00156465 0.0485006 0.0563349
0.99 0.00155768 0.00155768  0.00770575 0.00158824 0.049162 0.0572227
1 0.00157223 0.00157223  0.00778905 0.00161175 0.0498178 0.0581071
1.01 0.00158663 0.00158663  0.00787189 0.00163516 0.0504679 0.0589876
1.02 0.00160088 0.00160088  0.00795423 0.00165846 0.051112 0.0598639
